number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_max_features,params_min_samples_leaf,params_n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
22,0.8974647195403072,2023-09-04 17:08:35.099768,2023-09-04 17:12:24.151815,0 days 00:03:49.052047,0.0025,,7,21,200,76.07219703992207,0.2396399180094401,0.8974647195403072,0.8930208811690078,0.8916973086945595,0.9076759687573541,2.0600615634111685,0.011775742033976504,0.007240633901957343,COMPLETE
23,0.8974647195403072,2023-09-04 17:09:56.175241,2023-09-04 17:13:45.551564,0 days 00:03:49.376323,0.0025,,7,21,200,76.07579723993938,0.3377973238627116,0.8974647195403072,0.8930208811690078,0.8916973086945595,0.9076759687573541,3.2454420900873804,0.10342482569603442,0.007240633901957343,COMPLETE
24,0.8433776646570431,2023-09-04 17:09:57.188578,2023-09-04 17:13:47.303206,0 days 00:03:50.114628,0.0075,,7,21,200,76.39943361282349,0.2589256763458252,0.8433776646570431,0.8262339180138427,0.8281385293826049,0.8757605465746818,2.5988282970850602,0.02288889051709962,0.022911353329522058,COMPLETE
25,0.8433776646570431,2023-09-04 17:10:33.703338,2023-09-04 17:14:25.623815,0 days 00:03:51.920477,0.0075,,7,21,200,77.02473187446594,0.24124884605407715,0.8433776646570431,0.8262339180138427,0.8281385293826049,0.8757605465746818,3.0626368740957624,0.006792089381815601,0.022911353329522058,COMPLETE
26,0.8618011831609834,2023-09-04 17:11:55.689703,2023-09-04 17:22:49.367358,0 days 00:10:53.677655,0.0075,,7,21,500,217.1446284453074,0.6838943958282471,0.8618011831609834,0.8460923125124459,0.863632943392598,0.8756782935779062,5.368599501222639,0.012213786503318473,0.01214767681660537,COMPLETE
27,0.8618011831609834,2023-09-04 17:12:02.664400,2023-09-04 17:22:57.300005,0 days 00:10:54.635605,0.0075,,7,21,500,217.37938372294107,0.7849592367808024,0.8618011831609834,0.8460923125124459,0.863632943392598,0.8756782935779062,5.6137411118645035,0.07841741970369376,0.01214767681660537,COMPLETE
28,0.855306934977237,2023-09-04 17:12:24.156826,2023-09-04 17:17:46.542837,0 days 00:05:22.386011,0.0075,,7,41,300,107.0542094707489,0.36377573013305664,0.855306934977237,0.8455131946459917,0.8425146443138246,0.8778929659718946,2.1821039285248314,0.029948876233266038,0.016017582487012218,COMPLETE
29,0.855306934977237,2023-09-04 17:13:45.556564,2023-09-04 17:19:09.792075,0 days 00:05:24.235511,0.0075,,7,41,300,107.65035223960876,0.38729039827982586,0.855306934977237,0.8455131946459917,0.8425146443138246,0.8778929659718946,2.4858538205603216,0.022555164280890095,0.016017582487012218,COMPLETE
30,0.9257921944630252,2023-09-04 17:13:47.310203,2023-09-04 17:17:43.337158,0 days 00:03:56.026955,0.0,,5,41,300,78.10196208953857,0.5270075003306071,0.9257921944630252,0.9184677092902884,0.9233926115334115,0.9355162625653758,1.2693417166958842,0.01789703502251788,0.007163881204600542,COMPLETE
31,0.9258847347301643,2023-09-04 17:14:18.695573,2023-09-04 17:21:46.740819,0 days 00:07:28.045246,0.0,,5,41,500,148.15696438153586,1.1490741570790608,0.9258847347301643,0.9185048715791465,0.9237895628455517,0.9353597697657945,2.82024310607756,0.20972110681317793,0.0070386649842196876,COMPLETE
32,0.9258847347301643,2023-09-04 17:14:25.632812,2023-09-04 17:20:57.422017,0 days 00:06:31.789205,0.0,,5,41,500,129.63405394554138,0.9175050258636475,0.9258847347301643,0.9185048715791465,0.9237895628455517,0.9353597697657945,2.2273757727390024,0.01099973913373903,0.0070386649842196876,COMPLETE
