number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
10,0.9765887737746225,2023-09-04 02:37:45.860883,2023-09-04 02:44:00.573978,0 days 00:06:14.713095,0.0,5,21,500,122.56684533754985,2.323173761367798,0.9765887737746225,0.9717634995001645,0.9786490569204624,0.9793537649032403,2.6203705471117322,0.5591327739897717,0.0034240918214963056,COMPLETE
11,0.9729169338437901,2023-09-04 02:38:29.112357,2023-09-04 02:40:11.332534,0 days 00:01:42.220177,0.0075,6,11,100,33.62874801953634,0.4334727128346761,0.9729169338437901,0.9685747487945608,0.9776055325934164,0.9725705201433928,0.06016727296509186,0.031079153942201357,0.0036949303867403025,COMPLETE
12,0.9767514716116416,2023-09-04 02:38:30.164244,2023-09-04 02:40:35.993924,0 days 00:02:05.829680,0.0,3,41,300,40.86583924293518,1.065049171447754,0.9767514716116416,0.9697762460935568,0.9801323878060549,0.980345780935313,1.64637516378876,0.4029991194971911,0.004932998576120422,COMPLETE
13,0.9717823930471057,2023-09-04 02:40:11.338537,2023-09-04 02:41:29.973033,0 days 00:01:18.634496,0.01,5,31,100,25.48340717951457,0.7174263000488281,0.9717823930471057,0.9669546195626467,0.9743831693347039,0.9740093902439664,0.8177700467921815,0.2843125936329987,0.003417160157704235,COMPLETE
14,0.9733918137827601,2023-09-04 02:40:36.012450,2023-09-04 02:44:28.748856,0 days 00:03:52.736406,0.005,3,11,500,76.68165755271912,0.885805606842041,0.9733918137827601,0.9651098008752115,0.9775108574785472,0.9775547829945215,3.744298469154139,0.01023518262303523,0.005856294944379032,COMPLETE
15,0.9740912568461715,2023-09-04 02:40:44.150587,2023-09-04 02:46:12.642733,0 days 00:05:28.492146,0.005,5,51,500,108.50338768959045,0.9833278656005859,0.9740912568461715,0.9684288977444858,0.9796175754778341,0.9742272973161945,1.0824859420921147,0.012827004306246153,0.004568771360172165,COMPLETE
16,0.9733362043421171,2023-09-04 02:40:55.082169,2023-09-04 02:42:30.402500,0 days 00:01:35.320331,0.005,5,1,100,31.25892400741577,0.5028493404388428,0.9733362043421171,0.9680996160044066,0.9785554308373371,0.9733535661846077,1.4024298546231346,0.04989909077736471,0.004268586185168194,COMPLETE
17,0.9767008949520278,2023-09-04 02:41:29.980030,2023-09-04 02:45:31.144327,0 days 00:04:01.164297,0.0,3,21,500,79.03443805376689,1.3088126977284749,0.9767008949520278,0.9710770797834152,0.9794510416885216,0.9795745633841467,1.3270000693672204,0.022207849136763866,0.003976957563293903,COMPLETE
18,0.9762582180372871,2023-09-04 02:41:31.243072,2023-09-04 02:43:52.168866,0 days 00:02:20.925794,0.0,3,21,300,46.13221796353658,0.8052854537963867,0.9762582180372871,0.9705730395779306,0.9788473239200217,0.9793542906139092,2.4941171147757384,0.013951995647941726,0.0040253525223038315,COMPLETE
19,0.9766376968129853,2023-09-04 02:41:31.737353,2023-09-04 02:44:01.233226,0 days 00:02:29.495873,0.0,3,11,300,47.836352030436196,1.9565579891204834,0.9766376968129853,0.97220762251751,0.9787927742693494,0.9789126936520962,2.192493180034164,0.1565769752296155,0.00313291811385297,COMPLETE
20,0.9762582180372871,2023-09-04 02:41:39.205402,2023-09-04 02:43:59.714270,0 days 00:02:20.508868,0.0,3,21,300,45.390281438827515,1.4071604410807292,0.9762582180372871,0.9705730395779306,0.9788473239200217,0.9793542906139092,1.6763230648335752,0.68857020060288,0.0040253525223038315,COMPLETE
21,0.9762582180372871,2023-09-04 02:42:30.413501,2023-09-04 02:44:54.337052,0 days 00:02:23.923551,0.0,3,21,300,46.61860680580139,1.3153995672861736,0.9762582180372871,0.9705730395779306,0.9788473239200217,0.9793542906139092,0.35169329093866114,0.43288622142115246,0.0040253525223038315,COMPLETE
22,0.9767514716116416,2023-09-04 02:43:52.175163,2023-09-04 02:45:56.279575,0 days 00:02:04.104412,0.0,3,41,300,40.52284280459086,0.8007705211639404,0.9767514716116416,0.9697762460935568,0.9801323878060549,0.980345780935313,1.1780274829497916,0.02068604645824187,0.004932998576120422,COMPLETE
23,0.975485406334828,2023-09-04 02:43:59.729273,2023-09-04 02:46:06.447444,0 days 00:02:06.718171,0.0025,3,41,300,41.57029787699381,0.6295801003774008,0.975485406334828,0.968151386557316,0.9798074502234437,0.9784973822237246,0.3899406099962079,0.00397862157311992,0.0052134412252481865,COMPLETE
24,0.9750570553855589,2023-09-04 02:44:00.589981,2023-09-04 02:52:15.059822,0 days 00:08:14.469841,0.0025,8,41,500,163.80062913894653,0.9644705454508463,0.9750570553855589,0.9720381199458012,0.9773159998321549,0.9758170463787208,3.5449162213778354,0.04518097962254374,0.0022206896460273177,COMPLETE
25,0.9759177773634996,2023-09-04 02:44:01.247229,2023-09-04 02:47:00.096672,0 days 00:02:58.849443,0.0025,4,11,300,58.64470903078715,0.9280363718668619,0.9759177773634996,0.9708345202893264,0.9789928770744603,0.977925934726712,0.538141482071169,0.25120881375452747,0.0036207014380230467,COMPLETE
26,0.9758936552384276,2023-09-04 02:44:28.768857,2023-09-04 02:47:07.107548,0 days 00:02:38.338691,0.0025,4,41,300,51.787826220194496,0.9485539595286051,0.9758936552384276,0.9699462742546354,0.9794646791011896,0.9782700123594579,1.0377955013103362,0.3217216459236569,0.004233620403447459,COMPLETE
27,0.9758936552384276,2023-09-04 02:44:54.346055,2023-09-04 02:47:44.071459,0 days 00:02:49.725404,0.0025,4,41,300,55.7852087020874,0.7444117069244385,0.9758936552384276,0.9699462742546354,0.9794646791011896,0.9782700123594579,1.3447406110355877,0.046816189155106575,0.004233620403447459,COMPLETE
28,0.9759177773634996,2023-09-04 02:45:31.149329,2023-09-04 02:48:43.550872,0 days 00:03:12.401543,0.0025,4,11,300,63.213696241378784,0.8702981472015381,0.9759177773634996,0.9708345202893264,0.9789928770744603,0.977925934726712,2.4978187723006875,0.23415348964866564,0.0036207014380230467,COMPLETE
29,0.9758936552384276,2023-09-04 02:45:56.300574,2023-09-04 02:48:34.303245,0 days 00:02:38.002671,0.0025,4,41,300,51.64399480819702,0.970871369043986,0.9758936552384276,0.9699462742546354,0.9794646791011896,0.9782700123594579,1.197536603296884,0.3599957666807488,0.004233620403447459,COMPLETE
30,0.9758936552384276,2023-09-04 02:46:06.456445,2023-09-04 02:48:43.087725,0 days 00:02:36.631280,0.0025,4,41,300,51.42596848805746,0.7409389813741049,0.9758936552384276,0.9699462742546354,0.9794646791011896,0.9782700123594579,1.8101851290591318,0.0450939409928783,0.004233620403447459,COMPLETE
31,0.9758936552384276,2023-09-04 02:46:12.647732,2023-09-04 02:49:03.641120,0 days 00:02:50.993388,0.0025,4,41,300,56.15422590573629,0.803154468536377,0.9758936552384276,0.9699462742546354,0.9794646791011896,0.9782700123594579,1.842442833553642,0.21424734521488717,0.004233620403447459,COMPLETE
32,0.9759796798109269,2023-09-04 02:47:00.117672,2023-09-04 02:51:09.299756,0 days 00:04:09.182084,0.0025,4,41,500,82.12804436683655,0.8663194179534912,0.9759796798109269,0.9702337716398284,0.9795729916287268,0.9781322761642257,0.2187720904197853,0.015952685104319717,0.004105322626009333,COMPLETE
33,0.9750570553855589,2023-09-04 02:47:07.117550,2023-09-04 02:54:37.707227,0 days 00:07:30.589677,0.0025,8,41,500,149.05546538035074,1.0965757369995117,0.9750570553855589,0.9720381199458012,0.9773159998321549,0.9758170463787208,0.35389640304595044,0.3635106624462306,0.0022206896460273177,COMPLETE
34,0.9760796301343658,2023-09-04 02:47:44.079459,2023-09-04 02:55:51.055920,0 days 00:08:06.976461,0.0,8,41,500,160.8908056418101,1.3879954814910889,0.9760796301343658,0.9713548537652696,0.9770655435033464,0.9798184931344815,2.9791737099143685,0.32567998162486,0.003524894014611819,COMPLETE
35,0.975880640462564,2023-09-04 02:48:34.311246,2023-09-04 02:55:45.151350,0 days 00:07:10.840104,0.0,8,51,500,142.4648129940033,1.0996979872385662,0.975880640462564,0.971440524832521,0.9764906741077986,0.9797107224473725,3.42632869636635,0.08138386716198627,0.0034037379387385673,COMPLETE
36,0.9729442172379028,2023-09-04 02:48:43.097726,2023-09-04 02:55:55.050104,0 days 00:07:11.952378,0.0075,8,51,500,142.72819526990256,1.2154196898142497,0.9729442172379028,0.9705885444643351,0.9763181083859598,0.9719259988634135,2.2716508061630303,0.5722691581316429,0.0024473866574513895,COMPLETE
37,0.9729442172379028,2023-09-04 02:48:43.560883,2023-09-04 02:56:32.570048,0 days 00:07:49.009165,0.0075,8,51,500,155.3097243309021,0.9643086592356364,0.9729442172379028,0.9705885444643351,0.9763181083859598,0.9719259988634135,2.1627468739006916,0.04927757748522457,0.0024473866574513895,COMPLETE
38,0.9767008949520278,2023-09-04 02:49:03.652123,2023-09-04 02:52:52.095255,0 days 00:03:48.443132,0.0,3,21,500,74.83428772290547,1.2657283147176106,0.9767008949520278,0.9710770797834152,0.9794510416885216,0.9795745633841467,2.1120364038163504,0.06096208316350782,0.003976957563293903,COMPLETE
39,0.975362220608632,2023-09-04 02:51:09.305758,2023-09-04 02:56:01.218701,0 days 00:04:51.912943,0.0,8,21,300,96.41180594762166,0.8418170611063639,0.975362220608632,0.9711433040439899,0.9771888047332311,0.9777545530486751,3.709918552511333,0.13805885481574973,0.0029921520152632573,COMPLETE
40,0.9762582180372871,2023-09-04 02:52:15.066822,2023-09-04 02:54:36.680777,0 days 00:02:21.613955,0.0,3,21,300,46.298462549845375,0.8574201265970866,0.9762582180372871,0.9705730395779306,0.9788473239200217,0.9793542906139092,0.6404477273989296,0.05265649195793121,0.0040253525223038315,COMPLETE
41,0.9767008949520278,2023-09-04 02:52:52.103259,2023-09-04 02:56:40.172191,0 days 00:03:48.068932,0.0,3,21,500,74.72116549809773,1.2427887916564941,0.9767008949520278,0.9710770797834152,0.9794510416885216,0.9795745633841467,1.8840595729026157,0.08269537082431742,0.003976957563293903,COMPLETE
42,0.9767008949520278,2023-09-04 02:54:36.688771,2023-09-04 02:58:26.942799,0 days 00:03:50.254028,0.0,3,21,500,74.93816431363423,1.762292782465617,0.9767008949520278,0.9710770797834152,0.9794510416885216,0.9795745633841467,2.2753000586502043,0.6208207944699511,0.003976957563293903,COMPLETE
