number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
17,0.9165569507237876,2023-09-03 22:28:05.459828,2023-09-03 22:29:05.748754,0 days 00:01:00.288926,0.0,3,1,100,19.486236731211346,0.5460425217946371,0.9165569507237876,0.9128733474319686,0.9143716503504743,0.9224258543889199,0.20778938291028295,0.16150235334637142,0.0041947785465467425,COMPLETE
18,0.9222960580582535,2023-09-03 22:28:22.272108,2023-09-03 22:32:41.060580,0 days 00:04:18.788472,0.0,3,1,500,84.2727456887563,1.931046724319458,0.9222960580582535,0.9156594196053288,0.9217518223941585,0.9294769321752733,1.706243954059729,0.5372712539379356,0.005654087474190565,COMPLETE
19,0.9222960580582535,2023-09-03 22:28:31.770224,2023-09-03 22:32:47.252104,0 days 00:04:15.481880,0.0,3,1,500,83.48667025566101,1.6141077677408855,0.9222960580582535,0.9156594196053288,0.9217518223941585,0.9294769321752733,1.1690541668913204,0.5142411600728015,0.005654087474190565,COMPLETE
20,0.9222960580582535,2023-09-03 22:28:39.972487,2023-09-03 22:33:15.646200,0 days 00:04:35.673713,0.0,3,1,500,89.91263898213704,1.9082311789194744,0.9222960580582535,0.9156594196053288,0.9217518223941585,0.9294769321752733,0.8071112370531973,0.4402249777434927,0.005654087474190565,COMPLETE
21,0.9165569507237876,2023-09-03 22:29:05.759753,2023-09-03 22:30:06.963319,0 days 00:01:01.203566,0.0,3,1,100,19.85596211751302,0.49503858884175617,0.9165569507237876,0.9128733474319686,0.9143716503504743,0.9224258543889199,0.8387336744831801,0.04882828366386589,0.0041947785465467425,COMPLETE
22,0.9165569507237876,2023-09-03 22:29:08.056476,2023-09-03 22:30:09.509861,0 days 00:01:01.453385,0.0,3,1,100,19.189121802647907,1.2439819971720378,0.9165569507237876,0.9128733474319686,0.9143716503504743,0.9224258543889199,0.9247168886241968,0.35542730669900036,0.0041947785465467425,COMPLETE
23,0.9267437592049093,2023-09-03 22:30:06.975317,2023-09-03 22:31:12.291527,0 days 00:01:05.316210,0.0,4,11,100,21.09649348258972,0.6330626010894775,0.9267437592049093,0.9217918696567837,0.9240469286404793,0.9343924793174647,0.5197075120895152,0.22287596262707163,0.00548625629946593,COMPLETE
24,0.9170954502643566,2023-09-03 22:30:09.528862,2023-09-03 22:31:15.887489,0 days 00:01:06.358627,0.0025,4,11,100,21.19702895482381,0.8761544227600098,0.9170954502643566,0.9095945688968421,0.9182457904991173,0.9234459913971104,0.5074038243215453,0.2801566596525662,0.005713022452375303,COMPLETE
25,0.9180471191985031,2023-09-03 22:30:26.319328,2023-09-03 22:35:42.131654,0 days 00:05:15.812326,0.0025,4,11,500,103.92058444023132,1.313012679417928,0.9180471191985031,0.9095116559552032,0.9199398834428205,0.9246898181974855,2.134180635221554,0.4142010886735375,0.0063393516822403805,COMPLETE
26,0.9180844805324294,2023-09-03 22:30:45.499082,2023-09-03 22:33:58.162471,0 days 00:03:12.663389,0.0025,4,11,300,63.4655434290568,0.6957329114278158,0.9180844805324294,0.9095293821917739,0.9190127905623555,0.9257112688431591,1.333015244538959,0.020604564362684766,0.006638759097568136,COMPLETE
27,0.9170954502643566,2023-09-03 22:31:12.302530,2023-09-03 22:32:17.685866,0 days 00:01:05.383336,0.0025,4,11,100,21.286271174748737,0.46498791376749676,0.9170954502643566,0.9095945688968421,0.9182457904991173,0.9234459913971104,1.0488854868913644,0.12955428238334996,0.005713022452375303,COMPLETE
28,0.9180844805324294,2023-09-03 22:31:15.904490,2023-09-03 22:34:13.821893,0 days 00:02:57.917403,0.0025,4,11,300,58.52469404538473,0.7365907828013102,0.9180844805324294,0.9095293821917739,0.9190127905623555,0.9257112688431591,1.236956354792607,0.1408909854155218,0.006638759097568136,COMPLETE
29,0.925426288802031,2023-09-03 22:32:17.693874,2023-09-03 22:34:59.195791,0 days 00:02:41.501917,0.0,4,31,300,53.02182157834371,0.7709378401438395,0.925426288802031,0.9186802724835477,0.9230722509005418,0.9345263430220039,1.9484507843572474,0.020273597916978654,0.006679850732297776,COMPLETE
30,0.9172389787336126,2023-09-03 22:32:41.068570,2023-09-03 22:35:25.359960,0 days 00:02:44.291390,0.0025,4,31,300,53.78185764948527,0.9388575553894043,0.9172389787336126,0.9054246044663432,0.9164908731663365,0.929801458568158,2.0999146853121773,0.42792619579521674,0.009965858398556984,COMPLETE
31,0.9172389787336126,2023-09-03 22:32:47.259103,2023-09-03 22:35:31.293619,0 days 00:02:44.034516,0.0025,4,31,300,53.61855491002401,1.006921370824178,0.9172389787336126,0.9054246044663432,0.9164908731663365,0.929801458568158,1.3046582590835094,0.5208766297237208,0.009965858398556984,COMPLETE
32,0.9172389787336126,2023-09-03 22:33:15.652194,2023-09-03 22:36:14.941929,0 days 00:02:59.289735,0.0025,4,31,300,58.655856211980186,1.0528545379638672,0.9172389787336126,0.9054246044663432,0.9164908731663365,0.929801458568158,1.5238684860975702,0.49838562352606763,0.009965858398556984,COMPLETE
33,0.9131346229782032,2023-09-03 22:33:28.616100,2023-09-03 22:36:27.099448,0 days 00:02:58.483348,0.005,4,31,300,58.284603913625084,1.1543201605478923,0.9131346229782032,0.9019342094834422,0.9128154364857666,0.9246542229654012,1.2994426048397452,0.7249927727364641,0.009278152228679157,COMPLETE
34,0.925658233787917,2023-09-03 22:33:58.170472,2023-09-03 22:35:13.564926,0 days 00:01:15.394454,0.0,5,31,100,24.666173378626507,0.42313194274902344,0.925658233787917,0.9189569945573821,0.9221306979818567,0.9358870088245125,1.2019454489105612,0.010043465983745909,0.007347969216891982,COMPLETE
35,0.925658233787917,2023-09-03 22:34:13.828892,2023-09-03 22:35:27.340371,0 days 00:01:13.511479,0.0,5,31,100,23.83152500788371,0.6207642555236816,0.925658233787917,0.9189569945573821,0.9221306979818567,0.9358870088245125,0.22538412010847494,0.2801991890239977,0.007347969216891982,COMPLETE
36,0.9087116350620391,2023-09-03 22:34:59.204800,2023-09-03 22:35:58.573487,0 days 00:00:59.368687,0.005,4,31,100,19.379260619481403,0.3567846616109212,0.9087116350620391,0.9007469375570035,0.9087337590769666,0.916654208552147,0.5625154997083743,0.0036658094836635596,0.006494135032589551,COMPLETE
37,0.9072467823490639,2023-09-03 22:35:13.570461,2023-09-03 22:36:30.502745,0 days 00:01:16.932284,0.005,5,31,100,24.99267093340556,0.5949134826660156,0.9072467823490639,0.8979419401143313,0.9046171308957289,0.9191812760371314,0.8335751050536151,0.2841208364977319,0.008868056821533002,COMPLETE
38,0.925658233787917,2023-09-03 22:35:25.367961,2023-09-03 22:36:35.689847,0 days 00:01:10.321886,0.0,5,31,100,23.0022451877594,0.38903260231018066,0.925658233787917,0.9189569945573821,0.9221306979818567,0.9358870088245125,0.20438706672764476,0.009764623910798314,0.007347969216891982,COMPLETE
39,0.9254778166501132,2023-09-03 22:35:27.353370,2023-09-03 22:36:41.717439,0 days 00:01:14.364069,0.0,5,21,100,24.036248842875164,0.7004098097483317,0.9254778166501132,0.9188167964858294,0.9223937868421916,0.9352228666223185,0.4158229655965826,0.20545239432945447,0.007043825391691702,COMPLETE
