number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__class_weight,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
10,0.9224822999025041,2023-09-05 03:21:28.342081,2023-09-05 03:31:03.405740,0 days 00:09:35.063659,0.001,balanced,3,1,900,187.38642120361328,4.279797792434692,0.9224822999025041,0.9097354822219851,0.923266479958664,0.934444937526863,3.9599042860169855,1.2669338229600966,0.010102821359610355,COMPLETE
11,0.9274054809811708,2023-09-05 03:22:24.084981,2023-09-05 03:36:08.471854,0 days 00:13:44.386873,0.0,,5,11,900,271.9981613953908,2.77811590830485,0.9274054809811708,0.9206007156194588,0.9252306305128815,0.9363850968111725,6.194304486737057,0.09041195828200937,0.006624910229373982,COMPLETE
12,0.925229475603144,2023-09-05 03:22:30.534727,2023-09-05 03:29:10.455734,0 days 00:06:39.921007,0.001,balanced,3,11,750,129.63316504160562,3.6578317483266196,0.925229475603144,0.9178407318711318,0.9236113126801111,0.9342363822581892,6.824732999847536,1.1651630005820908,0.0067905903689228905,COMPLETE
13,0.9261751420346118,2023-09-05 03:24:34.726399,2023-09-05 03:29:46.005717,0 days 00:05:11.279318,0.0,balanced,3,21,600,101.65247527758281,2.085961182912191,0.9261751420346118,0.9189377258165498,0.9239575549892292,0.9356301452980564,0.9486713342452452,0.18030302205345064,0.006992733669771433,COMPLETE
14,0.9272364404166981,2023-09-05 03:24:54.760934,2023-09-05 03:31:09.830132,0 days 00:06:15.069198,0.0,,4,11,450,122.5118571917216,2.492358922958374,0.9272364404166981,0.9200368753163412,0.9260729257622382,0.9355995201715152,3.6515367450474066,1.0839421860637257,0.006406470868604948,COMPLETE
15,0.9185530794962707,2023-09-05 03:25:43.103819,2023-09-05 03:37:52.017054,0 days 00:12:08.913235,0.0005,,5,21,750,240.36460415522257,2.5916276772816977,0.9185530794962707,0.9133507261633818,0.9149780568351655,0.9273304554902649,10.65924317749018,0.9046998796981074,0.006241997451873413,COMPLETE
16,0.9240045930981947,2023-09-05 03:25:59.757738,2023-09-05 03:38:16.837495,0 days 00:12:17.079757,0.0005,balanced,4,1,900,242.6656498114268,3.0015875498453775,0.9240045930981947,0.9109180399606922,0.9252347230940757,0.9358610162398162,10.885045097968,0.29523333794107187,0.010220010804635854,COMPLETE
17,0.9211323333700964,2023-09-05 03:27:47.937508,2023-09-05 03:35:37.373144,0 days 00:07:49.435636,0.0005,,5,1,450,155.11170872052512,1.3036384582519531,0.9211323333700964,0.9139852293152172,0.9149761939134762,0.9344355768815954,2.3827908017948243,0.1497943505714816,0.009415509143727832,COMPLETE
18,0.9211323333700964,2023-09-05 03:29:10.462729,2023-09-05 03:36:55.932468,0 days 00:07:45.469739,0.0005,,5,1,450,153.8833327293396,1.2217132250467937,0.9211323333700964,0.9139852293152172,0.9149761939134762,0.9344355768815954,2.8231781197374057,0.09074409545051271,0.009415509143727832,COMPLETE
19,0.9211323333700964,2023-09-05 03:29:46.013718,2023-09-05 03:37:29.319684,0 days 00:07:43.305966,0.0005,,5,1,450,153.07436760266623,1.310407241185506,0.9211323333700964,0.9139852293152172,0.9149761939134762,0.9344355768815954,2.451289270869566,0.14120311911802874,0.009415509143727832,COMPLETE
20,0.9191744387589355,2023-09-05 03:31:03.423735,2023-09-05 03:38:53.891538,0 days 00:07:50.467803,0.0005,,5,11,450,155.28743386268616,1.4727918306986492,0.9191744387589355,0.9137055409702989,0.9149494332410087,0.928868342065499,1.6332202362609298,0.22304997936734627,0.006873409536420477,COMPLETE
21,0.9191744387589355,2023-09-05 03:31:09.846150,2023-09-05 03:39:00.712802,0 days 00:07:50.866652,0.0005,,5,11,450,154.8679234981537,2.027935743331909,0.9191744387589355,0.9137055409702989,0.9149494332410087,0.928868342065499,2.1802462944621643,0.7209373736791982,0.006873409536420477,COMPLETE
22,0.9187390108243801,2023-09-05 03:35:37.379687,2023-09-05 03:43:01.713097,0 days 00:07:24.333410,0.0005,,4,11,600,145.79412031173706,2.2613347371419272,0.9187390108243801,0.9123365330097304,0.9139141542361258,0.9299663452272845,4.073693707398426,0.8802447617185951,0.007965006822741243,COMPLETE
23,0.9191744387589355,2023-09-05 03:36:08.503428,2023-09-05 03:42:57.685136,0 days 00:06:49.181708,0.0005,,5,11,450,135.137633562088,1.192745844523112,0.9191744387589355,0.9137055409702989,0.9149494332410087,0.928868342065499,2.1609916770194135,0.04675498511798179,0.006873409536420477,COMPLETE
24,0.9177576845439696,2023-09-05 03:36:55.944466,2023-09-05 03:45:50.582688,0 days 00:08:54.638222,0.0005,,4,16,750,176.36736019452414,1.789523442586263,0.9177576845439696,0.9116433730483099,0.9124317723336485,0.9291979082499503,5.844720261123667,0.048766608295667,0.008095860349192602,COMPLETE
25,0.9177576845439696,2023-09-05 03:37:29.328215,2023-09-05 03:46:25.895989,0 days 00:08:56.567774,0.0005,,4,16,750,177.0075614452362,1.7961774667104085,0.9177576845439696,0.9116433730483099,0.9124317723336485,0.9291979082499503,5.70196499514011,0.05952118514649732,0.008095860349192602,COMPLETE
26,0.9271426941157989,2023-09-05 03:37:52.023066,2023-09-05 03:46:01.960014,0 days 00:08:09.936948,0.0,,4,11,600,160.38551823298135,2.8727612495422363,0.9271426941157989,0.9201647637875696,0.9256803146011853,0.9355830039586417,4.695605844607826,0.6133612349265095,0.006378842521794804,COMPLETE
27,0.9267880666126143,2023-09-05 03:38:16.847029,2023-09-05 03:48:16.818870,0 days 00:09:59.971841,0.0,,4,16,750,196.94482986132303,2.986256996790568,0.9267880666126143,0.9197992322129595,0.9243048289600535,0.9362601386648295,11.072468157771585,0.3555291307896116,0.006945752286283818,COMPLETE
28,0.9266615690061143,2023-09-05 03:38:53.904536,2023-09-05 03:46:46.509414,0 days 00:07:52.604878,0.0,,4,16,600,155.22534155845642,2.2530943552652993,0.9266615690061143,0.9196695156370467,0.9241976949428766,0.9361174964384196,5.036962915184177,0.1795786789127006,0.006937195622641963,COMPLETE
29,0.9266615690061143,2023-09-05 03:39:00.756808,2023-09-05 03:46:52.486809,0 days 00:07:51.730001,0.0,,4,16,600,154.02775025367737,3.1536983648935952,0.9266615690061143,0.9196695156370467,0.9241976949428766,0.9361174964384196,5.600958887182309,0.5016036958979321,0.006937195622641963,COMPLETE
30,0.9266615690061143,2023-09-05 03:42:57.691132,2023-09-05 03:50:18.682321,0 days 00:07:20.991189,0.0,,4,16,600,145.02263871828714,1.9175687630971272,0.9266615690061143,0.9196695156370467,0.9241976949428766,0.9361174964384196,5.8113935992316526,0.06551943600833446,0.006937195622641963,COMPLETE
31,0.9266615690061143,2023-09-05 03:43:01.721098,2023-09-05 03:50:23.920102,0 days 00:07:22.199004,0.0,,4,16,600,144.4026579062144,2.92706028620402,0.9266615690061143,0.9196695156370467,0.9241976949428766,0.9361174964384196,5.845348421317618,0.20033103532899132,0.006937195622641963,COMPLETE
32,0.9273139512762238,2023-09-05 03:45:50.602684,2023-09-05 03:53:45.880170,0 days 00:07:55.277486,0.0,,4,6,600,156.27048619588217,2.0937861601511636,0.9273139512762238,0.9192496111423378,0.9267345211299218,0.9359577215564121,2.582515918660298,0.028261806002952534,0.006833351684839929,COMPLETE
33,0.9266615690061143,2023-09-05 03:46:01.980013,2023-09-05 03:54:11.131429,0 days 00:08:09.151416,0.0,,4,16,600,160.72913797696432,2.249614715576172,0.9266615690061143,0.9196695156370467,0.9241976949428766,0.9361174964384196,0.8645304026233729,0.06674146928795652,0.006937195622641963,COMPLETE
34,0.9266615690061143,2023-09-05 03:46:25.924992,2023-09-05 03:53:51.200355,0 days 00:07:25.275363,0.0,,4,16,600,145.37608472506204,2.97701366742452,0.9266615690061143,0.9196695156370467,0.9241976949428766,0.9361174964384196,3.0543230302772786,0.7414265453854912,0.006937195622641963,COMPLETE
35,0.9273139512762238,2023-09-05 03:46:46.517409,2023-09-05 03:55:29.664008,0 days 00:08:43.146599,0.0,,4,6,600,171.46627187728882,2.8502105871836343,0.9273139512762238,0.9192496111423378,0.9267345211299218,0.9359577215564121,2.483600816226634,0.722423659134749,0.006833351684839929,COMPLETE
36,0.9251971353422143,2023-09-05 03:46:52.494817,2023-09-05 03:59:59.326451,0 days 00:13:06.831634,0.0,,4,31,1050,257.71786999702454,4.496832052866618,0.9251971353422143,0.9179117104273262,0.922739557403466,0.9349401381958504,2.650828562464783,1.03170161583245,0.007165733507963573,COMPLETE
37,0.9256909609839301,2023-09-05 03:48:16.829868,2023-09-05 04:01:37.244094,0 days 00:13:20.414226,0.0,,4,26,1050,262.8949285348256,3.812563896179199,0.9256909609839301,0.9187403016184787,0.9229412051466915,0.93539137618662,7.827755335394183,0.2142754459391649,0.007070381363678162,COMPLETE
38,0.9270167026406307,2023-09-05 03:50:18.695306,2023-09-05 03:56:24.232552,0 days 00:06:05.537246,0.0,,3,6,600,119.74496261278789,2.0412580172220864,0.9270167026406307,0.9186636266821049,0.9268912571608701,0.9354952240789172,2.617860428692604,0.02355603757596001,0.006872043371923122,COMPLETE
